Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
26667778768,"Khăn giấy rút Top Gia Thùng 6 bịch treo tường đa sắc 1280 tờ, dập vân 4D, siêu dai và mềm mịn","125,0k",60k+,Giấy Top Gia - Chính Hãng,12%,₫15.000,https://shopee.vn/product/1404292602/26667778768,https://s.shopee.vn/2g6qEMnmQP
25176208160,"【Tặng quà/Bảo hành nửa năm】GOOJODOQ Quạt Turbo Jet 4000 mAh có thể sạc lại, cầm tay, di động, gió mạnh, tốc độ cao 100 vòng/phút","250,0k",200k+,Goojodoq Offical Shop.VN,18%,₫45.000,https://shopee.vn/product/1053077389/25176208160,https://s.shopee.vn/3B36pHlsPW
836784995,"Thảm lông, Thảm Chùi Chân lông, thảm lau chân nhà tắm chống trơn 100 Mẫu Thiết Kế Độc Quyền (40cm x 60cm)","42,0k",100k+,congtrangbedding,16%,₫6.720,https://shopee.vn/product/22156385/836784995,https://s.shopee.vn/30jgcymVkV
27658618522,"1 Hộp Và Combo 2 Hộp 60 Túi Trà Gạo Lứt, Hoa Nhài, Cỏ Ngọt, Vừng Đen, Đậu Đen, Đậu Đỏ, Lá Nếp","109,0k",30k+,Siêu Thị Thiên Nhiên Oficial,30%,₫32.700,https://shopee.vn/product/86938441/27658618522,https://s.shopee.vn/7KsfmwW0xM
52306955570,"(MUA 10 TẶNG 10 MÓN PHỤ KIỆN) Khăn giấy cao cấp Mộc an Topgia hàng Việt Nam 4 lớp, dày dặn  tặng bộ bấm móng tay","174,0k",8k+,TopGia HCM,20%,₫34.800,https://shopee.vn/product/729014007/52306955570,https://s.shopee.vn/7VC5zFVNcP
27706747428,"Sạc Dự Phòng 30000mah Sạc Nhanh Màn Hình Led, Tích Hợp 2 Đầu Sạc Tiện Dụng, Sạc Cho Iphone Và Android","210,0k",400k+,HOCO TECK,20%,₫42.000,https://shopee.vn/product/699159587/27706747428,https://s.shopee.vn/7fVWBYUkHS
22259515682,Sữa tắm gội cho bé Cetaphil Baby Gentle Wash & Shampoo 400ML & 230ML,"175,0k",9k+,QUEEN BEAUTY STORE,18%,₫31.500,https://shopee.vn/product/4661111/22259515682,https://s.shopee.vn/7powNrU6wV
27601657103,"Địu em bé trợ lực Emoon 9 tư thế, chống gù, đai đi xe máy cho bé, vải lưới thoáng khí cho bé từ 0-36 tháng tuổi","485,0k",7k+,EMOON VN,20%,₫97.000,https://shopee.vn/product/718357100/27601657103,https://s.shopee.vn/6fcyziYYJI
22051769496,"(BAO BÌ MỚI) Khăn giấy rút treo tường Mộc an TopGia 1000 tờ tặng bộ 10 món chăm sóc móng, 4 lớp mềm mịn, dày dặn","145,0k",100k+,TopGia HCM,20%,₫29.000,https://shopee.vn/product/729014007/22051769496,https://s.shopee.vn/6pwPC1XuyL
24923899517,"[Combo3] Găng Tay Chống Nắng PRO UPF50+ Cao Cấp UPPER YOU Xỏ Ngón, Không Xỏ Ngón Thun Lạnh Co Giãn 4 Chiều - OTX01/OTK01","49,0k",100k+,Upper You ,20%,₫9.800,https://shopee.vn/product/834756665/24923899517,https://s.shopee.vn/70FpOKXHdO
18686546538,KHĂN VẢI KHÔ ĐA NĂNG DÀNH CHO MẸ VÀ BÉ GUMI 300/600/ 900g,"56,0k",400k+,Gumi Hồ Chí Minh,20%,₫11.200,https://shopee.vn/product/864405042/18686546538,https://s.shopee.vn/7AZFadWeIR
28081012388,"Bàn Làm Việc & Học Tập Gấp Gọn ICON - 5 Mức Điều Chỉnh, Khay Đựng Ly, Thiết Kế Đa Năng Cho Laptop Và Sách Vở","98,2k",20k+,ICON-M,19%,₫18.666,https://shopee.vn/product/1158229156/28081012388,https://s.shopee.vn/60NICUb5fE
27681167505,Đèn Bắt Muỗi HGHOME Diệt Côn Trùng Công Nghệ Cao - Máy Bắt Mỗi Kiêm Đèn Ngủ Có Cổng Sạc USB (V),"80,0k",20k+,Gia Dụng Thông Minh HGHOME,12%,₫9.600,https://shopee.vn/product/500014556/27681167505,https://s.shopee.vn/6AgiOnaSKH
28189555996,Bơm Lốp Kích Bình ắc Quy Ô Tô 4 Trong 1 Wisezen Có Thể Dùng Làm Pin Sạc Dự Phòng Tích Hợp đèn LED Dễ Thao Tác,"799,0k",2k+,Wisezen Vietnam,18%,₫143.820,https://shopee.vn/product/1452683839/28189555996,https://s.shopee.vn/6L08b6ZozK
29210990754,"Sạc nhanh PD 20W Không Nóng Máy ,An Toàn Ổn Định, Có Cáp Sạc 66W Đi Kèm Combo,  Bảo Hành 12 Tháng Medusa","51,0k",600k+,PKT NICE,15%,₫7.650,https://shopee.vn/product/1342813708/29210990754,https://s.shopee.vn/6VJYnPZBeN
27820876542,Túi Đựng Quần Áo Chăn Màn Handobox Vải Chống Nước Giỏ Đựng Quần Áo Gấp Gọn Cỡ Lớn 100L 140L Tiện Lợi,"28,0k",10k+,Homebox - Thế Giới Tiện Ích,25%,₫7.000,https://shopee.vn/product/534730986/27820876542,https://s.shopee.vn/5L7bPGdd1A
43103736600,"[COMBO 3 CHAI] Nước Tẩy Bồn Cầu Flashman 500g – Diệt Khuẩn 99.9% – Khử Mùi, Tẩy Sạch Vết Bẩn","159,0k",10k+,FLASHMAN VN,22%,₫34.980,https://shopee.vn/product/1500204576/43103736600,https://s.shopee.vn/5VR1bZczgD
28021832693,Thùng 10 gói khăn uớt 80 tờ Gumi không cồn không parabens cao cấp dành cho em bé,"165,0k",300k+,Gumi Hồ Chí Minh,20%,₫33.000,https://shopee.vn/product/864405042/28021832693,https://s.shopee.vn/5fkRnscMLG
27760920224,sạc dự phòng mini GOOJODOQ 2024 không dây di động có phích cắm Type-C và Light-ning,"129,0k",10k+,GOOJODOQ OFFICIAL SHOP,19%,₫24.510,https://shopee.vn/product/1356437574/27760920224,https://s.shopee.vn/5q3s0Bbj0J
28569973476,Khẩu Trang Chống Nắng Full Mặt Chống UV UPPER YOU Mịn Mát Thoáng Khí - FM02,"68,9k",100k+,Upper You ,20%,₫13.780,https://shopee.vn/product/834756665/28569973476,https://s.shopee.vn/9ztQxqLrY8
